Year,Team,YrTm,Season,CY Season Rank,CY Playoff Rank,GP,W,L,OT,P,ROW,P%,Shots/GP,GF/GP,GA/GP,PP%,PK%,Shots/GP,FOW%,TOI,GF,GA,GF60,GA60,GF%,SF,SA,SF60,SA60,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,GF-GA,GF/W,GF/L,GA/W,GA/L,PY Playoff RNK,2PY Playoff RNK,3PY Playoff RNK,4PYPlayoff RNK
2017,Anaheim Ducks,2017Anaheim Ducks,Regular,6,4,82,46,23,13,105,43,0.64,29.6,2.68,2.4,18.7,84.7,29.6,54.7,204.9458333,220,197,2.63,2.37,52.7,2402,2411,29.3,29.4,49.9,3412,3474,41.6,42.4,49.5,4519,4607,55.1,56.2,49.5,8.99,91.95,100.9,32.9,37.1,30.1,23,4.782608696,9.565217391,4.282608696,8.565217391,9,3,5,9
2017,Arizona Coyotes,2017Arizona Coyotes,Regular,28,28,82,30,42,10,70,24,0.427,27.8,2.33,3.15,16.2,77.3,27.8,48,207.6972222,191,258,2.29,3.07,42.7,2279,2792,27.4,33.6,44.9,3225,4032,38.8,48.5,44.4,4282,5247,51.5,63.2,44.9,8.34,90.87,99.2,30.7,38.1,31.2,-67,6.366666667,4.547619048,8.6,6.142857143,24,29,18,18
2017,Boston Bruins,2017Boston Bruins,Regular,13,10,82,44,31,7,95,42,0.579,33.2,2.83,2.55,21.7,85.7,33.2,53.2,206.7840278,232,209,2.79,2.53,52.5,2720,2195,32.9,26.5,55.3,3791,3094,45.8,37.4,55.1,5012,4188,60.6,50.6,54.5,8.49,90.48,99,35.6,32.6,31.8,23,5.272727273,7.483870968,4.75,6.741935484,17,17,6,2
2017,Buffalo Sabres,2017Buffalo Sabres,Regular,26,26,82,33,37,12,78,31,0.476,30.4,2.43,2.82,24.5,77.6,30.4,49.6,205.2020833,199,231,2.4,2.75,46.6,2464,2777,30,33.8,47,3346,3773,40.8,46,47,4368,4882,53.2,59.5,47.2,8,91.86,99.9,33,35.7,31.4,-32,6.03030303,5.378378378,7,6.243243243,23,30,30,21
2017,Calgary Flames,2017Calgary Flames,Regular,15,16,82,45,33,4,94,41,0.573,29.1,2.71,2.67,20.2,81.6,29.1,48.9,207.2465278,222,219,2.68,2.63,50.5,2389,2354,28.8,28.4,50.4,3302,3315,39.8,40,49.9,4497,4426,54.2,53.4,50.4,9.29,90.74,100,32.9,35.5,31.6,3,4.933333333,6.727272727,4.866666667,6.636363636,26,7,27,25
2017,Carolina Hurricanes,2017Carolina Hurricanes,Regular,20,20,82,36,31,15,87,33,0.53,30.4,2.59,2.8,17.7,84.2,30.4,53.1,200.1548611,212,230,2.52,2.74,48,2393,2218,29.9,27.7,51.9,3384,3167,42.3,39.6,51.7,4600,4184,57.5,52.3,52.4,8.44,90.13,98.6,37.6,29.8,32.6,-18,5.888888889,6.838709677,6.388888889,7.419354839,18,26,24,25
2017,Chicago Blackhawks,2017Chicago Blackhawks,Regular,3,15,82,50,23,9,109,46,0.665,30.6,2.93,2.59,18,77.7,30.6,47.5,207.4993056,240,212,2.89,2.55,53.1,2508,2575,30.2,31,49.3,3347,3427,40.3,41.3,49.4,4632,4653,55.8,56.1,49.9,9.57,91.77,101.3,34.9,32.4,32.7,28,4.8,10.43478261,4.24,9.217391304,10,1,3,1
2017,Colorado Avalanche,2017Colorado Avalanche,Regular,30,30,82,22,56,4,48,21,0.293,28.1,2.01,3.37,12.6,76.6,28.1,53.6,203.8583333,165,276,2,3.35,37.4,2263,2575,27.8,31.6,46.8,3161,3474,38.8,42.6,47.6,4280,4534,52.5,55.6,48.6,7.2,89.4,96.6,33.6,35.4,30.9,-111,7.5,2.946428571,12.54545455,4.928571429,21,21,9,29
2017,Columbus Blue Jackets,2017Columbus Blue Jackets,Regular,4,14,82,50,24,8,108,48,0.659,31,3.01,2.35,19.9,82.5,31,48.6,204.5701389,247,193,2.96,2.33,55.9,2506,2457,30.6,30,50.5,3372,3411,41.2,41.7,49.7,4512,4574,55.1,55.9,49.7,9.66,92.23,101.9,33.6,35.9,30.5,54,4.94,10.29166667,3.86,8.041666667,27,22,12,17
2017,Dallas Stars,2017Dallas Stars,Regular,24,24,82,34,37,11,79,33,0.482,30.5,2.71,3.17,17.9,73.9,30.5,49.9,206.6715278,222,260,2.69,3.13,46.2,2506,2440,30.3,29.5,50.7,3613,3491,43.7,42.2,50.9,4890,4821,59.2,58.3,50.4,8.86,89.39,98.2,32.4,35.4,32.2,-38,6.529411765,6,7.647058824,7.027027027,5,19,13,21
